"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","Participant ID","Which system did you use? ","The system was easy to learn","I liked learning the system","I felt comfortable learning the system","I found the system difficult to understand","The ideas behind the system were difficult to appreciate","The system is no more difficult than other information visualization systems","I often became confused learning the system","It took too much time to learn the system","The time and effort learning the system were well spent","It was easy to use the system","I liked using the system","I had no difficulty understanding how to use the system","The set of operations one needed to use were easy to remember","It was obvious what to do next","I became confused trying to complete the tasks","The system made it difficult to complete the tasks","I felt frustrated using the system","I felt comfortable using the system","The system was fun","It took too much time to use the system","[Optional] Please use this space to provide any comments to support or explain the reasons behind the ratings that you previously provided","[Optional] Please use the space below to provide any other feedback about the system or the study","URL Redirect"
"1","Mar 15, 2016 1:48:50 PM","Mar 15, 2016 1:52:02 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458061353_56e84029d2a103.14090064","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","209","Prototype","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Strongly Agree","Neutral","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Disagree","Understanding which data points were filtered was the only point that I was confused. I couldn't tell if I had made a selection filter at times, or if I had a filter on in the panel.","",""
"2","Mar 15, 2016 6:40:44 PM","Mar 15, 2016 6:43:15 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458079650_56e887a2147553.50862512","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","205","Vizable","Neutral","Agree","Agree","Agree","Neutral","Disagree","Agree","Neutral","Disagree","Agree","Agree","Disagree","Agree","Agree","Neutral","Disagree","Agree","Neutral","Neutral","Disagree","","",""
"3","Mar 16, 2016 1:37:44 PM","Mar 16, 2016 1:40:18 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458148020_56e992b432c351.84737521","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","204","Vizable","Disagree","Disagree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Agree","Neutral","Agree","Disagree","Neutral","Agree","There are so many fields can be changed and it is hard to remember all the operations.","",""
"4","Mar 16, 2016 2:36:06 PM","Mar 16, 2016 2:38:50 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458151928_56e9a1f894b290.65190171","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","206","Prototype","Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Neutral","Disagree","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Disagree","Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","","nice interface, easy to use but hard to figure out how to perform certain tasks",""
"5","Mar 16, 2016 3:36:32 PM","Mar 16, 2016 3:41:03 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458155114_56e9ae6adc2aa3.73477105","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","207","Vizable","Agree","Strongly Agree","Neutral","Agree","Disagree","Strongly Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Disagree","Disagree","Agree","Neutral","Neutral","Agree","Agree","Strongly Agree","Strongly Disagree","Probably easy to use if more than 5 minutes learning.  Fun and appealing design. Maybe not enough information and guidelines to get to the desired filtering.","Some drag-and-drop interactions may be useful for specific tasks.",""
"6","Mar 16, 2016 5:44:02 PM","Mar 16, 2016 5:46:11 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458159968_56e9c160de9bd0.21299116","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","210","Prototype","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree","It is a really good system.","",""
"7","Mar 17, 2016 12:37:27 PM","Mar 17, 2016 12:39:46 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458231669_56ead975cccf50.15982131","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","208","Prototype","Agree","Strongly Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","I should've used touch selection more to filter out data points.","",""
"8","Mar 17, 2016 1:44:51 PM","Mar 17, 2016 1:47:36 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458235208_56eae748a43f86.73502761","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","211","Prototype","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Neutral","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Strongly Agree","Disagree","","Nice color choices and fluid UI.  Circling scatter points seems to be a faster way of filtering than touching bar charts, though maybe not the most intuitive way to do it  Overall, it was a good fluid experience",""
"9","Mar 17, 2016 3:33:06 PM","Mar 17, 2016 3:37:35 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458240991_56eafddfdf8255.16281876","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","213","Prototype","Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Neutral","Overall, it is easy and intuitive to use the system. The biggest problem was figuring out the home menu with the 3 graph types. It was not obvious to swipe to reveal the home menu, or to swipe the name of the graph to discard it from the view. I eventually figured these interactions out.","",""
"10","Mar 17, 2016 4:39:52 PM","Mar 17, 2016 4:41:48 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458245530_56eb0f9ad7c442.86465024","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","215","Prototype","Disagree","Agree","Neutral","Agree","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Agree","Disagree","Neutral","Agree","Neutral","Disagree","Neutral","Strongly Agree","I have provided all my comments in task 1 while I was answering the system","",""
"11","Mar 17, 2016 5:28:32 PM","Mar 17, 2016 5:34:03 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458248687_56eb1bef40bcb6.38035617","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","217","Vizable","Agree","Agree","Neutral","Neutral","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Didnt discover the swipe functionality on the titles until later. Some soft of signifier would be useful. It makes you discover stuff on your own - which I liked and disliked. Liked -because it kept the space clean and the interface looks pleasant. But as I mentioned before signifiers in some places would enable shorter learning time. ","Also, really liked the swipe out functionality to filter out certain things. Didnt really use the line chart visualization at all. Used the bar chart for pretty much all I answered. Dont understand what the grey boxes are in the horizontal bar charts. Otherwise looks like a pretty useful system. Interactivity is great. ",""
"12","Mar 18, 2016 10:41:31 AM","Mar 18, 2016 10:44:03 AM","Partial","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458311319_56ec1097990514.53789939","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","219","Prototype","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Strongly Agree","Strongly Disagree","","",""
"13","Mar 18, 2016 10:52:26 AM","Mar 18, 2016 10:52:43 AM","Partial","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458312610_56ec15a2c32393.41068724","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","219","Prototype","","","","","","","","","","","","","","","","","","","","","","",""
"14","Mar 18, 2016 12:36:57 PM","Mar 18, 2016 12:36:57 PM","Partial","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458317262_56ec27ce66d063.18502983","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","220","Prototype","","","","","","","","","","","","","","","","","","","","","","",""
"15","Mar 18, 2016 12:37:28 PM","Mar 18, 2016 12:39:09 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458319041_56ec2ec11c1d62.99279063","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","220","Vizable","Neutral","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree","Disagree","Agree","Agree","Disagree","","",""
"16","Mar 18, 2016 2:35:40 PM","Mar 18, 2016 2:38:15 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458324339_56ec43732cda26.10541218","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","214","Vizable","Disagree","Neutral","Neutral","Agree","Neutral","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Neutral","Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly Disagree","Agree","Things were not that intuitive and self-explanatory. ","A guide would be more helpful",""
"17","Mar 18, 2016 3:38:59 PM","Mar 18, 2016 3:42:08 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458328726_56ec5496e4b4a2.83471193","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","212","Vizable","Disagree","Agree","Agree","Agree","Agree","Neutral","Agree","Disagree","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Disagree","The +/- option is the most powerful tool in the system. Making it a small icon at the bottom did not give any intuition of its importance and usefulness. Also, the way of choosing states/regions/categories to include or remove was not very apparent","",""
"18","Mar 18, 2016 5:42:06 PM","Mar 18, 2016 5:44:47 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654756/study-2-System-1","http://www.surveygizmo.com/s3/2654756/study-2-System-1","1458334834_56ec6c72d31f37.76166017","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","216","Prototype","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Disagree","Agree","The affordance of the system wasn't explicit.","",""
