"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","Participant ID","Which system did you use? ","The system was easy to learn","I liked learning the system","I felt comfortable learning the system","I found the system difficult to understand","The ideas behind the system were difficult to appreciate","The system is no more difficult than other information visualization systems","I often became confused learning the system","It took too much time to learn the system","The time and effort learning the system were well spent","It was easy to use the system","I liked using the system","I had no difficulty understanding how to use the system","The set of operations one needed to use were easy to remember","It was obvious what to do next","I became confused trying to complete the tasks","The system made it difficult to complete the tasks","I felt frustrated using the system","I felt comfortable using the system","The system was fun","It took too much time to use the system","[Optional] Please use this space to provide any comments to support or explain the reasons behind the ratings that you previously provided","[Optional] Please use the space below to provide any other feedback about the system or the study","URL Redirect"
"1","Mar 15, 2016 2:13:14 PM","Mar 15, 2016 2:17:24 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458060187_56e83b9bf35366.99704410","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","209","Vizable","Agree","Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Not having the ability to add a line on the line chart was mind bottling. I spent most of the session trying to figure that out.","The Visable system had some nice polished features that I either didn't notice or couldn't find in the prototype. The ability to compare rate changes and differences between datacases was a nice feature.",""
"2","Mar 15, 2016 7:10:28 PM","Mar 15, 2016 7:13:20 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458079659_56e887ab391318.59114900","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","205","Prototype","Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Strongly Agree","Disagree","","In the table, diagonal scrolling should be allowed. Right now it locks onto motion along one axis and does not accept motion along the other axis until user lifts their finger.",""
"3","Mar 16, 2016 2:02:30 PM","Mar 16, 2016 2:05:23 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458148029_56e992bde6ff00.62785333","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","204","Prototype","Neutral","Neutral","Agree","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Neutral","Switching different types of charts could be easier to find, such as adding a ""tab"" icon to prompt users. In general, this system is easier to remember operations than the other system. ","",""
"4","Mar 16, 2016 2:59:51 PM","Mar 16, 2016 3:00:51 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458151940_56e9a204e4d855.70808445","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","206","Vizable","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Agree","Disagree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Disagree","","",""
"5","Mar 16, 2016 4:03:48 PM","Mar 16, 2016 4:11:05 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458155124_56e9ae744f4c23.15644283","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","207","Prototype","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Not easy to use / difficult to complete tasks just because of the few bugs, otherwise it's really fun to modify parameters. The filter column has no delimitation between the different filters (either you scroll down the main filter selection, or you accidentally scroll down a filter sub-column)","I don't like black background ! Again, some drag and drop features would be cool. Oh and maybe more insights when clicking to a bar of the barchart, or a point in the scatter plot ( not just giving the possibility to include or exclude the selected item) ",""
"6","Mar 16, 2016 6:07:58 PM","Mar 16, 2016 6:10:12 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458159959_56e9c157212500.54019697","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","210","Vizable","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Agree","Neutral","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Neutral","Disagree","It is good system but I feel that it is not as strong as the prototype one.","",""
"7","Mar 17, 2016 1:01:46 PM","Mar 17, 2016 1:03:51 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458231716_56ead9a433c287.28014683","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","208","Vizable","Strongly Disagree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Disagree","Neutral","Neutral","Agree","Strongly Disagree","Neutral","Disagree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Couldn't figure out how to select certain data points to include multiple filters easily. ","",""
"8","Mar 17, 2016 2:10:16 PM","Mar 17, 2016 2:12:23 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458235257_56eae779d87780.05557357","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","211","Vizable","Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Agree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Disagree","Disagree","Neutral","","It sholuld be called inVizable. Torture to use it. ",""
"9","Mar 17, 2016 4:00:25 PM","Mar 17, 2016 4:03:51 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458240984_56eafdd8aa0063.45878288","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","213","Vizable","Disagree","Strongly Disagree","Disagree","Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Agree","","I could not find a way to answer some of the questions with Vizable. With Prototype, I could always discover a way to answer every question.",""
"10","Mar 17, 2016 4:57:09 PM","Mar 17, 2016 4:58:35 PM","Complete","","","English","http://www.surveygizmo.com/s3/2654762/study-2-System-2","http://www.surveygizmo.com/s3/2654762/study-2-System-2","1458245539_56eb0fa308c2f3.19762911","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","215","Vizable","Neutral","Agree","Strongly Disagree","Agree","Neutral","Strongly Disagree","Agree","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Neutral","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Provided in the task sheets","",""
