"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","Participant ID","Overall,  what did you like in each system? ","Overall, what did you dislike in each system? ","Ease of Learning- Which system was easier to learn?:How would you compare the 2 systems on the basis of the following criteria? ","Ease of Use- Which system was easier to use?:How would you compare the 2 systems on the basis of the following criteria? ","Ease in Understanding- Which system was easier to understand and interpret?:How would you compare the 2 systems on the basis of the following criteria? ","Complex- Which system has a more complex interface ?:How would you compare the 2 systems on the basis of the following criteria? ","[OPTIONAL] Please explain your ratings or provide any general feedback about the study or the tools. ","URL Redirect"
"1","Mar 14, 2016 7:05:52 PM","Mar 14, 2016 7:05:52 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1457996541_56e742fd7d1f98.71352829","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Saf","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36","","203","vizable is much better, but then it is a mature product. History feature in vizable is the best.  prototype has scatterplot in addition","visable - too many interactions  prototype - the right slide was not realized","Vizable","Vizable","Vizable","Vizable","",""
"2","Mar 15, 2016 2:23:33 PM","Mar 15, 2016 2:23:33 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1458061370_56e8403a73d5e8.20174127","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","209","I liked the prototypes direct manipulation of data points. The ability to filter by selection of attributes was nice as well, also using sliders for quantitative values was well done. Vizable didn't have a handful of the features. Also the prototype's variety of visualizations, and being able to see multiple Viz's at once made a huge difference. Also having an actual line chart made the prototype much more suitable for analytic tasks.","I disliked the prototypes filtering feedback. A lot of times I wasn't positive how many data cases I had filtered out. Vizable's # of # Records in the bottom right corner is a nice feature. Also when I open the protoypes filter panel it would be nice if it went directly to the features that I had previously filtered out in case I want to undo them. This was a nice feature by Vizable. I disliked Vizable's UI, I felt like they compromised aesthetics for function, often times I wasn't sure what I could or should do next.","Prototype","Prototype","Vizable","Prototype","I felt that both systems need work in the ease in understanding category. But I gave the slight edge to Visable.",""
"3","Mar 15, 2016 7:15:30 PM","Mar 15, 2016 7:15:30 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1458079668_56e887b462e0d1.42086103","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","205","Vizable - Transitions/smoothness Prototype - draw to filter feature","Vizable - not intuitive to understand Prototype - Kept crashing; dark theme","Prototype","Vizable","Prototype","Prototype","",""
"4","Mar 16, 2016 2:09:28 PM","Mar 16, 2016 2:09:28 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1458148037_56e992c5b17295.56627026","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","204","Vizable is more visually appealing, but harder to remember operations. Prototype is more straightward in terms of operation. ","Both of them took pretty long time to learn, but the Vizable is harder than the other one. Vizable has different sub-menus and they are all in  same location, which is on the left side. ","Prototype","Prototype","Prototype","Vizable","I am more confident using prototype.",""
"5","Mar 16, 2016 3:02:42 PM","Mar 16, 2016 3:02:42 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1458151951_56e9a20fc09965.79075776","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","206","each system had good filtering sytem. In vizable, I liked the color scheme which made it seem more friendly. I liked being able to circle and select points in the prototype","I didn't like the color scheme and lack of functions in the prototype. For vizable, I didn't like not being able to change the x axis, or it wasn't obvious","Vizable","Vizable","Vizable","Vizable","",""
"6","Mar 16, 2016 4:21:08 PM","Mar 16, 2016 4:21:08 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1458155136_56e9ae803632b3.96453078","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","207","Vizible : nice flat ( and white !) design. Possibility to switch between barchart and linegraph with the same parameters. Prototype : flat chart are great, parameters columns are buttons should have the design (consistency). I had access to the raw dataset, great ! Easy to switch between sum/average/count ...","Vzible : the return/next action is great but overall, it's difficult to reset settings and start again to a clean chart. The zoom-in/zoom-out feature for barchart is really weird. I understood it is used to get more insight on sub-column (category->subcategory) but sometimes I got new unwanted columns ...  Prototype : black design :( No horizontal barchart ? No direct access to mean/max/min values","Prototype","Prototype","Vizable","Vizable","Great tools for analysis on the go ! Similar design, but I prefer the Vizable design. Some good features from both apps. Both apps need a help section though !",""
"7","Mar 16, 2016 6:12:59 PM","Mar 16, 2016 6:12:59 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1458159949_56e9c14d29ed86.08390731","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","210","In the prototype system, the bar chart and the line chart are easy to use. In the viz software, I like the bar chart. It is very strong.","In prototype system, the way of selecting each data point in scatter plot is not strong. In the viz system, the line chart is not strong enough since it only take date as x axis.","Vizable","Vizable","Vizable","Prototype","",""
"8","Mar 17, 2016 1:08:12 PM","Mar 17, 2016 1:08:12 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1458231732_56ead9b4a496b9.44376440","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","208","The prototype system's ability to select points by drawing circles around scatter plot points was helpful. Also the ability to have multiple charts on screen at once was a useful feature.   I liked Vizable's filter selection and line chart pinch to zoom.","Both system's did not make use of multi touch abilities on the iPad as much I would have thought. Both seemed like  desktop applications ported to the iPad, however the prototype's touch to select was useful (already stated).","Prototype","Prototype","Prototype","Vizable","Good study on the topic of learning. Learning multi touch gestures without instruction is tough because it is not clear what other gestures are supported. ",""
"9","Mar 17, 2016 2:16:18 PM","Mar 17, 2016 2:16:18 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1458235280_56eae7903fd238.81037338","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","211","Prototype -- multiple coordinated views, linking and brushing. Could browse individual records if necessary. Does not restrict me on how I want to plot  Visable: Choosing filters seemed to be more comprehensive. Looks a littke polished though poor color choices..","Prototype: A little buggy, takes too much time to include or exclude, can probably use a gesture instead.   Visable: I can have a good roast session on this...","Prototype","Prototype","Prototype","Vizable","",""
"10","Mar 17, 2016 4:55:54 PM","Mar 17, 2016 4:55:54 PM","Complete","","","English","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","http://www.surveygizmo.com/s3/2652573/Comparison-of-tools","1458247745_56eb1841a303f2.16506542","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36","","213","For Prototype, I liked the intuitive interface and flexibility. I was able to quickly learn how to navigate the features, and was able to find a way to answer all the questions in the task.  For Vizable, I liked the icons for switching between the bar chart and line graph.","On Prototype, I wished there were a Home or Menu button to get to the main menu to choose the displayed graphs. On that menu, I wish there were an ""X"" to delete a currently displayed graph.  On Vizable, I found the the interface both limiting and confusing. For example, I could not change the X-axis on the line graph. Also, many of the data fields were not available under the ""Filters"". As a result, I could not find a way to answer many of the questions in the task.","Prototype","Prototype","Prototype","Prototype","I rated Prototype as a more ""complex"" interface, and meant this in a good way. By complex, it offered more flexibility in the choices of interactions to explore the data. However, the interface was well-organized, and easy to learn and navigate.",""
